Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
8,Andhra Pradesh,504.94,800,4,-1,471.91,0,16,80,403.952
8,Assam,49.1,800,10,-1,49.1,0,26.2006043,92.9375739,39.28
8,Bihar,106.25,800,0,-4,0,0,25.11,85.32,85
8,Delhi,894.8,800,0,-3,885.95,0,28.38,77.12,715.84
8,Gujarat,347.18,800,0,-2,343.75,0,23,72,277.744
8,Haryana,67.99,800,1,-5,67.32,0,29.3,76,54.392
8,Himachal Pradesh,26.66,800,0,-7,24.46,0,31.79,77.1,21.328
8,Kashmir,36.05,800,2,-5,35.35,0,33.94,76.54,28.84
8,Karnataka,378.75,800,0,-1,0,0,15,75,303
8,Kolkata,183.75,800,0,-1,0,0,22.56263,88.36304,147
8,Madhya Pradesh,243.9,800,8,3,243.9,7.31,23.3,80,195.12
8,Maharashtra,652.8,800,3,0,652.8,6.52,20,76,522.24
8,Mumbai,918.46,800,0,-6,909.37,0,19.07283,72.88261,734.768
8,North East,18.75,800,16,5,18.75,0.93,28,95,15
8,Odisha,53.86,800,0,-6,51.3,0,26,94.2,43.088
8,Punjab,112.67,800,0,-3,107.31,0,30.8,75.5,90.136
8,Tamil Nadu,450,800,0,-1,0,0,11,78,360
8,Uttar Pradesh E,167.5,800,0,-3,0,0,26,82,134
8,Uttar Pradesh W,118.75,800,0,-1,0,0,28,80,95
8,West Bengal,71.96,800,0,-1,71.25,0,23,87,57.568
8,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
8,Assam,35.92,900,18,-13,35.92,0,26.2006043,92.9375739,28.736
8,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
8,Gujarat,146.71,900,30,-40,134.6,0,23,72,117.368
8,Haryana,30.24,900,28,-34,29.36,0,29.3,76,24.192
8,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,9.28
8,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
8,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
8,Madhya Pradesh,64.99,900,0,-62,61.9,0,23.3,80,51.992
8,Maharashtra,154.6,900,0,-70,153.07,0,20,76,123.68
8,North East,10.28,900,44,0,10.28,0.1,28,95,8.224
8,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
8,Punjab,74.31,900,74,-4,72.15,0,30.8,75.5,59.448
8,Rajasthan,91.44,900,0,-62,90.54,0,27,74,73.152
8,Uttar Pradesh E,88.14,900,29,-2,88.14,0,26,82,70.512
8,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,88.2
8,West Bengal,33.46,900,22,0,33.46,0.33,23,87,26.768
8,Andhra Pradesh,49.04,1800,6,-13,48.56,0,16,80,39.232
8,Bihar,12.4,1800,0,-10,0,0,25.11,85.32,9.92
8,Gujarat,48.07,1800,0,-17,47.6,0,23,72,38.456
8,Haryana,7.32,1800,57,17,7.32,0.29,29.3,76,5.856
8,Himachal Pradesh,2.12,1800,40,-11,2.08,0,31.79,77.1,1.696
8,Karnataka,37.37,1800,0,-9,37,0,15,75,29.896
8,Kerala,15.15,1800,0,-5,15,0,10,76.25,12.12
8,Kolkata,28.39,1800,50,15,28.39,0.85,22.56263,88.36304,22.712
8,North East,2.2,1800,25,-17,2.2,0,28,95,1.76
8,Odisha,5.57,1800,75,-6,5.36,0,26,94.2,4.456
8,Punjab,14.34,1800,0,-8,14.2,0,30.8,75.5,11.472
8,Rajasthan,15.27,1800,0,-52,14.55,0,27,74,12.216
8,Tamil Nadu,45,1800,78,-17,45,0,11,78,36
8,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,26,82,15.52
8,Uttar Pradesh W,19,1800,3,-8,19,0,28,80,15.2
8,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,275
8,Assam,189.38,2100,1,0,189.38,1.89,26.2006043,92.9375739,37.876
8,Delhi,3315,2100,0,-1,0,0,28.38,77.12,663
8,Gujarat,1302.9,2100,0,-1,1290,0,23,72,260.58
8,Haryana,232.3,2100,0,-1,230,0,29.3,76,46.46
8,Karnataka,1658.78,2100,0,-1,1642.36,0,15,75,331.756
8,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,118.89
8,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,116.748
8,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,92.262
8,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,304.01
8,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,649
8,North East,53.74,2100,1,0,53.74,0.53,29,95,10.748
8,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.412
8,Rajasthan,685.35,2100,1,0,685.35,6.85,27,74,137.07
8,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,347.44
8,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,91.202
8,Uttar Pradesh W,520.15,2100,1,0,520.15,5.2,28,80,104.03
